date,best_bid,best_ask,total_bid_depth,total_ask_depth,volume_by_product
2020-03-23T09:52:59.467, 644271.0, 644286.0, 6880.71754244, 6782.46760961, 197057.62083618
2020-03-23T09:53:59.903, 643218.0, 643303.0, 6904.3096467, 6773.54546483, 196986.74464512
2020-03-23T09:55:00.727, 643655.0, 643709.0, 6917.43746887, 6778.20417618, 196972.99778586
2020-03-23T09:56:00.13, 642211.0, 642238.0, 6897.56441011, 6774.08979182, 197063.23230499
2020-03-23T09:57:00.043, 642094.0, 642111.0, 6910.78545449, 6787.64321516, 197103.09413429
2020-03-23T09:58:00.193, 642682.0, 642698.0, 6920.04254774, 6771.09501737, 197079.22936483
2020-03-23T09:59:00.48, 641704.0, 641839.0, 6900.79141485, 6757.17747526, 197163.70051888
2020-03-23T09:59:59.717, 641232.0, 641365.0, 6920.76164969, 6787.44923052, 197139.79121451
2020-03-23T10:01:01.307, 641467.0, 641699.0, 6915.23572295, 6795.40106641, 197225.67770123
2020-03-23T10:02:00.62, 642545.0, 642571.0, 6934.55779862, 6766.89629488, 197202.83030766
2020-03-23T10:03:00.613, 643295.0, 643327.0, 6936.27395449, 6777.21700467, 197158.45044277
2020-03-23T10:03:59.207, 644129.0, 644130.0, 6935.44827918, 6751.7716411, 197194.79892351
2020-03-23T10:05:00.063, 643340.0, 643511.0, 6916.77121269, 6807.49515493, 197335.8293294
2020-03-23T10:06:00.093, 643383.0, 643396.0, 6931.95155753, 6814.00289261, 197324.64740955
2020-03-23T10:07:00.35, 643492.0, 643576.0, 6934.48747026, 6810.26332743, 197305.05069387
2020-03-23T10:07:59.973, 642822.0, 642839.0, 6930.84039697, 6822.11822629, 197393.60233413
2020-03-23T10:09:00.49, 642903.0, 642939.0, 6929.40281882, 6782.55866672, 197460.01600098
2020-03-23T10:09:59.247, 645000.0, 645005.0, 6956.79142581, 6748.57987266, 197432.85648543
2020-03-23T10:11:00.223, 644337.0, 644431.0, 6927.32035634, 6775.22072892, 197534.09458158
2020-03-23T10:12:00.35, 644438.0, 644456.0, 6934.93909599, 6766.07839284, 197462.84405175
2020-03-23T10:13:00.157, 644998.0, 645017.0, 6937.17948425, 6761.09478712, 197419.59431689
2020-03-23T10:13:59.937, 644485.0, 644532.0, 6917.59618519, 6757.79378136, 197424.16297471
2020-03-23T10:14:59.673, 643600.0, 643619.0, 6902.18116502, 6769.92297361, 197446.05444485
2020-03-23T10:15:59.9, 643800.0, 643805.0, 6937.61048335, 6111.94799301, 197492.89384627
2020-03-23T10:17:00.62, 643543.0, 643645.0, 6909.12405341, 6853.67993627, 197514.99672198
2020-03-23T10:17:59.867, 645580.0, 645999.0, 6921.46488866, 6815.13551842, 197554.29511332
2020-03-23T10:19:00.223, 646044.0, 646223.0, 7005.40611827, 6917.35313699, 197744.56019583
2020-03-23T10:20:00.033, 645787.0, 645862.0, 6972.05734634, 6912.19512665, 197854.37961509
2020-03-23T10:21:00.13, 646436.0, 646514.0, 7001.42995307, 6915.75454198, 197907.48371416
2020-03-23T10:21:59.91, 645584.0, 645738.0, 6973.42091659, 6935.89833128, 197934.84320827
2020-03-23T10:23:00.773, 645371.0, 645496.0, 6977.49341655, 6899.77384124, 197976.42640926
2020-03-23T10:24:00.463, 647388.0, 647392.0, 6971.57361776, 6874.17846545, 198122.26987276
2020-03-23T10:25:00.027, 647454.0, 647565.0, 6988.21684102, 6883.85465977, 198150.53852751
2020-03-23T10:25:59.46, 646413.0, 646469.0, 6968.96611369, 6011.64404998, 198291.70868819
2020-03-23T10:27:00.387, 647618.0, 647825.0, 6950.93074545, 5983.78267303, 198495.97926246
2020-03-23T10:28:00.493, 647668.0, 647756.0, 6971.16052789, 6777.90117508, 198526.07063704
2020-03-23T10:28:59.42, 647586.0, 647666.0, 6976.5459621, 6781.68303312, 198568.82876954
2020-03-23T10:29:59.98, 646882.0, 646973.0, 6939.70840963, 6781.94810441, 198523.85606852
2020-03-23T10:30:59.95, 647780.0, 647866.0, 6975.79731814, 6740.06509961, 198554.96263408
2020-03-23T10:31:59.637, 646870.0, 646948.0, 6950.92156095, 5814.11602047, 198609.64325648
2020-03-23T10:32:59.917, 644438.0, 645000.0, 6925.98777271, 5843.73842976, 198623.60812072
2020-03-23T10:34:00.117, 643879.0, 643976.0, 6924.80530562, 5863.37180373, 198407.97560917
2020-03-23T10:34:59.827, 644442.0, 644572.0, 6955.52191326, 5852.10305552, 198270.90012593
2020-03-23T10:36:00.163, 644797.0, 644892.0, 6959.13465711, 6627.02690618, 197987.15624549
2020-03-23T10:37:00.53, 643756.0, 643786.0, 6934.72000748, 6623.99221003, 197687.60632742
2020-03-23T10:38:00.47, 644715.0, 644737.0, 6951.64130949, 6633.45968752, 197510.52733082
2020-03-23T10:39:00.893, 644755.0, 644845.0, 6937.02325248, 6594.80673235, 197362.62848364
2020-03-23T10:39:59.807, 644766.0, 644800.0, 6974.47563883, 6638.15932311, 197201.14070414
2020-03-23T10:41:00.32, 645276.0, 645373.0, 6947.09127375, 6607.35610688, 197179.79999409
2020-03-23T10:41:59.97, 645323.0, 645437.0, 6967.90612379, 6607.8732796, 197099.48658184
2020-03-23T10:43:00.727, 644606.0, 644613.0, 6939.62204079, 6596.78688761, 196737.66494992
2020-03-23T10:44:00.267, 644803.0, 644916.0, 6940.47447028, 6609.71982458, 196271.82638614
2020-03-23T10:44:59.86, 643489.0, 643526.0, 6914.51385972, 6642.95212806, 196086.81847166
2020-03-23T10:45:59.577, 643937.0, 644022.0, 6936.84014523, 6639.26847683, 195966.73496042
2020-03-23T10:47:00.8, 643589.0, 643593.0, 6906.07612372, 6606.92881093, 195819.52492139
2020-03-23T10:48:00.983, 644212.0, 644246.0, 6959.59241223, 6614.26884107, 195772.88393141
2020-03-23T10:49:00.31, 644287.0, 644429.0, 6958.46603361, 6625.42576449, 195779.65362115
2020-03-23T10:49:58.603, 644768.0, 644869.0, 6959.11236793, 6638.74704096, 195715.49852811
2020-03-23T10:51:00.363, 644561.0, 644617.0, 6900.98864704, 6597.0299253, 195647.52892634
2020-03-23T10:52:00.347, 644950.0, 645003.0, 6914.32918564, 6619.88600919, 195644.66437128
2020-03-23T10:52:59.81, 644499.0, 644614.0, 6919.98577236, 6616.90534381, 195581.34040295
2020-03-23T10:54:00.337, 644584.0, 644679.0, 6104.26647567, 6615.39521904, 195588.80195818
2020-03-23T10:55:00.73, 644901.0, 644937.0, 6918.0841786, 6607.94920043, 195413.62054377
2020-03-23T10:56:00.153, 646807.0, 646874.0, 6966.9310051, 6567.87147399, 195403.12358053
2020-03-23T10:56:58.733, 648422.0, 648448.0, 7020.95710633, 6521.3480247, 195506.14894942
2020-03-23T10:58:00.82, 648332.0, 648448.0, 6985.62869245, 6543.68274758, 195486.40786115
2020-03-23T10:58:59.827, 648572.0, 648674.0, 6965.68045643, 6551.10549909, 195549.21269034
2020-03-23T10:59:59.493, 648709.0, 648737.0, 6959.10502447, 6582.97574281, 195599.86898406
2020-03-23T11:00:58.887, 651525.0, 651791.0, 7001.31350483, 6542.87434429, 195886.27380692
2020-03-23T11:01:59.653, 652307.0, 652382.0, 7028.07367642, 6538.65083057, 196041.28945891
2020-03-23T11:03:00.21, 651972.0, 652025.0, 6985.87144028, 6564.01153868, 196109.40920834
2020-03-23T11:04:00.56, 652760.0, 652790.0, 6990.96547873, 6534.12392981, 196205.06386085
2020-03-23T11:05:00.313, 655568.0, 655785.0, 7007.20166389, 6455.41693004, 196502.41137643
2020-03-23T11:05:59.5, 652827.0, 653014.0, 6952.21010761, 6497.23622787, 196721.2663673
2020-03-23T11:06:59.723, 653615.0, 653658.0, 7000.61606372, 6507.7959519, 196735.43622758
